customer_id,age,gender,province,region,jewelry_category,material,karat_purity,weight_grams,has_gemstone,occasion,purchase_amount_vnd,estimated_monthly_income_vnd,review_rating,membership_status,discount_applied,promo_code_used,payment_method,shipping_type,purchase_channel,previous_purchases,frequency_of_purchases,recency_proxy_days,monetary_est_vnd,clv_est_vnd,next_period_spend_est_vnd,churn,cluster,cluster_name,churn_proba
1,22,Nữ,TP. Hồ Chí Minh,Miền Nam,Lắc chân,Bạc,5,9.59,0,Cưới hỏi,709000.0,14737000.0,4.9,Không,Có,Có,Thẻ tín dụng,Nhận tại cửa hàng,Tại cửa hàng,1,Hàng quý,96.0,142000.0,146232.0,241372.0,0,0,Khách hàng phổ thông / mới,0.164304754318796
2,55,Nữ,Thái Nguyên,Miền Bắc,Dây chuyền,Vàng đính đá quý,18,3.82,1,Sinh nhật,10047000.0,25469000.0,2.7,Không,Không,Không,Chuyển khoản ngân hàng,Giao hàng nhanh,Online,20,Hàng năm,337.0,40188000.0,36346027.0,872132.0,1,2,Khách hàng có nguy cơ rời bỏ,0.764052421283439
3,49,Nam,Nghệ An,Miền Trung,Vòng tay,Vàng đính đá quý,18,5.57,1,Cưới hỏi,13510000.0,34685000.0,4.0,Không,Không,Có,Thẻ tín dụng,Nhận tại cửa hàng,Tại cửa hàng,28,Hàng tuần,8.0,75656000.0,74029396.0,45255147.0,0,3,Khách hàng trung thành,0.3846977870826458
4,39,Nữ,Bắc Ninh,Miền Bắc,Nhẫn,Vàng 24K,24,6.15,0,Tự mua sắm,12751000.0,8647000.0,3.5,Có,Có,Không,Chuyển khoản ngân hàng,Giao hàng nhanh,Online,2,Hàng năm,339.0,5100000.0,5865000.0,1437755.0,0,2,Khách hàng có nguy cơ rời bỏ,0.16933040030850488
5,38,Nữ,Bình Định,Miền Trung,Nhẫn,Vàng 24K,24,5.61,0,Tự mua sắm,12758000.0,26740000.0,3.4,Có,Không,Có,Tiền mặt,Giao hàng tiêu chuẩn,Online,19,Hàng quý,95.0,48480000.0,55417488.0,3859036.0,0,3,Khách hàng trung thành,0.2734533491821152
6,59,Nữ,TP. Hồ Chí Minh,Miền Nam,Bông tai,Bạch kim,20,5.62,0,Sinh nhật,10794000.0,27421000.0,4.0,Có,Không,Không,Chuyển khoản ngân hàng,Nhận tại cửa hàng,Tại cửa hàng,28,Hàng quý,87.0,60446000.0,71598287.0,3565204.0,0,3,Khách hàng trung thành,0.3457129040022469
7,22,Nam,Thanh Hóa,Miền Trung,Nhẫn,Bạc,5,5.89,0,Quà tặng gia đình,597000.0,23942000.0,3.2,Có,Không,Không,Ví điện tử (Momo/ZaloPay),Giao hàng tiêu chuẩn,Tại cửa hàng,13,Nửa năm một lần,175.0,1552000.0,1752674.0,131435.0,1,0,Khách hàng phổ thông / mới,0.6893143369581523
8,51,Nữ,Quảng Ninh,Miền Bắc,Vòng tay,Vàng đính đá quý,18,8.12,1,Cưới hỏi,19342000.0,14199000.0,2.6,Không,Không,Không,Chuyển khoản ngân hàng,Giao hàng nhanh,Tại cửa hàng,9,Hàng quý,82.0,34816000.0,31289139.0,8053855.0,0,0,Khách hàng phổ thông / mới,0.7061184176380542
9,27,Nữ,Nam Định,Miền Bắc,Bông tai,Vàng 18K,18,1.21,0,Tự mua sắm,2056000.0,18993000.0,4.4,Không,Có,Không,Chuyển khoản ngân hàng,Giao hàng nhanh,Online,22,Nửa năm một lần,201.0,9046000.0,9057760.0,280934.0,0,3,Khách hàng trung thành,0.4050287099236247
10,22,Nam,Cần Thơ,Miền Nam,Nhẫn,Vàng đính đá quý,18,4.96,1,Quà tặng người yêu,12253000.0,12579000.0,2.7,Không,Có,Không,Tiền mặt,Giao hàng nhanh,Online,28,Hàng năm,359.0,68617000.0,62057215.0,1123925.0,1,2,Khách hàng có nguy cơ rời bỏ,0.6574118855790246
11,43,Nam,Hưng Yên,Miền Bắc,Dây chuyền,Bạc,5,8.96,0,Tự mua sắm,597000.0,23590000.0,3.3,Không,Không,Có,Ví điện tử (Momo/ZaloPay),Giao hàng tiêu chuẩn,Online,17,Hàng năm,356.0,2030000.0,1905358.0,46112.0,1,2,Khách hàng có nguy cơ rời bỏ,0.6326297469317135
12,64,Nữ,Bình Dương,Miền Nam,Bông tai,Vàng 24K,24,5.69,0,Sinh nhật,12672000.0,12710000.0,4.0,Có,Không,Có,Chuyển khoản ngân hàng,Nhận tại cửa hàng,Tại cửa hàng,1,Hàng quý,79.0,2534000.0,3001523.0,4408743.0,0,0,Khách hàng phổ thông / mới,0.13985099910698412
